"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 03 17:58:36 GMT 2024","Sun Mar 03 17:58:38 GMT 2024","2257","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedIn","testNavigationCustomerLoggedIn",""
"passed","Sun Mar 03 17:59:09 GMT 2024","Sun Mar 03 17:59:17 GMT 2024","7858","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testPurchaseWithCartValidationAPI","testPurchaseWithCartValidationAPI",""
"passed","Sun Mar 03 17:58:57 GMT 2024","Sun Mar 03 17:58:57 GMT 2024","194","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testLoginAPI","testLoginAPI",""
"passed","Sun Mar 03 17:58:47 GMT 2024","Sun Mar 03 17:58:47 GMT 2024","384","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"passed","Sun Mar 03 17:59:32 GMT 2024","Sun Mar 03 17:59:33 GMT 2024","643","Ecommerce store","Smoke tests","tests.LoginTest","tests.LoginTest","testLogin","testLogin",""
"passed","Sun Mar 03 17:59:31 GMT 2024","Sun Mar 03 17:59:32 GMT 2024","560","Ecommerce store","Smoke tests","tests.ContactTest","tests.ContactTest","testContactPopUp","testContactPopUp",""
"passed","Sun Mar 03 17:58:53 GMT 2024","Sun Mar 03 17:58:54 GMT 2024","361","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"passed","Sun Mar 03 17:59:37 GMT 2024","Sun Mar 03 17:59:38 GMT 2024","1153","Ecommerce store","Smoke tests","tests.LoginTest","tests.LoginTest","testLogin","testLogin",""
"passed","Sun Mar 03 17:58:45 GMT 2024","Sun Mar 03 17:58:45 GMT 2024","515","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"passed","Sun Mar 03 17:58:28 GMT 2024","Sun Mar 03 17:58:30 GMT 2024","2088","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedIn","testNavigationCustomerLoggedIn",""
"passed","Sun Mar 03 17:59:01 GMT 2024","Sun Mar 03 17:59:01 GMT 2024","186","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testProductDisplayOnThePageAPI","testProductDisplayOnThePageAPI",""
"passed","Sun Mar 03 17:58:55 GMT 2024","Sun Mar 03 17:58:55 GMT 2024","317","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
"passed","Sun Mar 03 17:58:41 GMT 2024","Sun Mar 03 17:58:43 GMT 2024","2266","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedIn","testNavigationCustomerLoggedIn",""
"passed","Sun Mar 03 17:58:23 GMT 2024","Sun Mar 03 17:58:26 GMT 2024","2304","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedIn","testNavigationCustomerLoggedIn",""
"passed","Sun Mar 03 17:58:32 GMT 2024","Sun Mar 03 17:58:34 GMT 2024","2087","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedIn","testNavigationCustomerLoggedIn",""
"passed","Sun Mar 03 17:59:33 GMT 2024","Sun Mar 03 17:59:34 GMT 2024","812","Ecommerce store","Smoke tests","tests.LoginTest","tests.LoginTest","testLogin","testLogin",""
"passed","Sun Mar 03 17:58:59 GMT 2024","Sun Mar 03 17:58:59 GMT 2024","308","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testProductDisplayByCategoryAPI","testProductDisplayByCategoryAPI",""
"broken","Sun Mar 03 17:58:20 GMT 2024","Sun Mar 03 17:58:20 GMT 2024","1","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","closeContext","closeContext",""
"passed","Sun Mar 03 17:59:19 GMT 2024","Sun Mar 03 17:59:29 GMT 2024","10306","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testValidateAPICartIntegrationWithUI","testValidateAPICartIntegrationWithUI",""
"passed","Sun Mar 03 17:58:05 GMT 2024","Sun Mar 03 17:58:06 GMT 2024","703","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testLogOut","testLogOut",""
"passed","Sun Mar 03 17:59:02 GMT 2024","Sun Mar 03 17:59:07 GMT 2024","4382","Ecommerce store","Smoke tests","tests.APITest","tests.APITest","testProductViewDisplayAPI","testProductViewDisplayAPI",""
"skipped","Sun Mar 03 17:58:20 GMT 2024","Sun Mar 03 17:58:20 GMT 2024","1","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testPurchaseWithCartValidationE2E","testPurchaseWithCartValidationE2E",""
"passed","Sun Mar 03 17:59:35 GMT 2024","Sun Mar 03 17:59:36 GMT 2024","766","Ecommerce store","Smoke tests","tests.LoginTest","tests.LoginTest","testLogin","testLogin",""
"failed","Sun Mar 03 17:58:17 GMT 2024","Sun Mar 03 17:58:19 GMT 2024","2299","Ecommerce store","Smoke tests","tests.HomeTest","tests.HomeTest","testProductDisplayByCategory","testProductDisplayByCategory",""
"passed","Sun Mar 03 17:58:49 GMT 2024","Sun Mar 03 17:58:49 GMT 2024","375","Ecommerce store","Smoke tests","tests.NavigationTest","tests.NavigationTest","testNavigationCustomerLoggedOut","testNavigationCustomerLoggedOut",""
