2024-02-03 08:34:03.649 INFO  org.testng.internal.Utils - [TestNG] Running:
  C:\Users\laysa\AppData\Local\JetBrains\IdeaIC2023.2\temp-testng-customsuite.xml

2024-02-03 08:34:03.708 INFO  BaseTest - Playwright created.
2024-02-03 08:34:03.724 INFO  BaseTest - Browser CHROMIUM BrowserImpl@12f3afb5 launched.

2024-02-03 08:34:03.772 INFO  BaseTest - RUN tests.HomeTest.testLogOut
2024-02-03 08:34:03.798 INFO  BaseTest - Context created.
2024-02-03 08:34:03.811 INFO  BaseTest - Tracing started
2024-02-03 08:34:04.101 INFO  BaseTest - Page created.
2024-02-03 08:34:05.510 INFO  BaseTest - Page context: Base URL opened.
2024-02-03 08:34:06.302 INFO  BaseTest - ✅

tests.HomeTest.testLogOut   ----   PASS	 Run Time: 0 min 0 sec 657 ms

2024-02-03 08:34:06.316 INFO  BaseTest - Page closed.
2024-02-03 08:34:06.410 INFO  BaseTest - Tracing stopped
2024-02-03 08:34:06.420 INFO  BaseTest - Context closed.
2024-02-03 08:34:06.675 INFO  BaseTest - Browser closed.
2024-02-03 08:34:06.697 INFO  BaseTest - Playwright closed.
2024-02-03 08:35:16.673 INFO  BaseTest - Playwright created.
2024-02-03 08:35:16.677 INFO  BaseTest - Browser CHROMIUM BrowserImpl@3c1e3314 launched.

2024-02-03 08:35:16.679 INFO  BaseTest - Playwright created.
2024-02-03 08:35:16.679 INFO  BaseTest - Browser CHROMIUM BrowserImpl@13c612bd launched.

2024-02-03 08:35:16.729 INFO  BaseTest - RUN tests.HomeTest.testLogOut
2024-02-03 08:35:16.753 INFO  BaseTest - Context created.
2024-02-03 08:35:16.760 INFO  BaseTest - Tracing started
2024-02-03 08:35:16.983 INFO  BaseTest - Page created.
2024-02-03 08:35:18.222 INFO  BaseTest - Page context: Base URL opened.
2024-02-03 08:35:18.943 INFO  BaseTest - ?

tests.HomeTest.testLogOut   ----   PASS	 Run Time: 0 min 0 sec 644 ms

2024-02-03 08:35:18.951 INFO  BaseTest - Page closed.
2024-02-03 08:35:19.013 INFO  BaseTest - Tracing stopped
2024-02-03 08:35:19.019 INFO  BaseTest - Context closed.
2024-02-03 08:35:19.026 INFO  BaseTest - RUN tests.Login.LoginTest.testLogin
2024-02-03 08:35:19.034 INFO  BaseTest - Context created.
2024-02-03 08:35:19.039 INFO  BaseTest - Tracing started
2024-02-03 08:35:19.218 INFO  BaseTest - Page created.
2024-02-03 08:35:20.547 INFO  BaseTest - ?

tests.Login.LoginTest.testLogin(1)   ----   PASS	 Run Time: 0 min 0 sec 694 ms

2024-02-03 08:35:20.556 INFO  BaseTest - Page closed.
2024-02-03 08:35:20.607 INFO  BaseTest - Tracing stopped
2024-02-03 08:35:20.617 INFO  BaseTest - Context closed.
2024-02-03 08:35:20.621 INFO  BaseTest - RUN tests.Login.LoginTest.testLogin
2024-02-03 08:35:20.632 INFO  BaseTest - Context created.
2024-02-03 08:35:20.636 INFO  BaseTest - Tracing started
2024-02-03 08:35:20.784 INFO  BaseTest - Page created.
2024-02-03 08:35:21.863 INFO  BaseTest - ?

tests.Login.LoginTest.testLogin(2)   ----   PASS	 Run Time: 0 min 0 sec 694 ms

2024-02-03 08:35:21.871 INFO  BaseTest - Page closed.
2024-02-03 08:35:21.932 INFO  BaseTest - Tracing stopped
2024-02-03 08:35:21.942 INFO  BaseTest - Context closed.
2024-02-03 08:35:21.945 INFO  BaseTest - RUN tests.Login.LoginTest.testLogin
2024-02-03 08:35:21.954 INFO  BaseTest - Context created.
2024-02-03 08:35:21.956 INFO  BaseTest - Tracing started
2024-02-03 08:35:22.102 INFO  BaseTest - Page created.
2024-02-03 08:35:23.304 INFO  BaseTest - ?

tests.Login.LoginTest.testLogin(3)   ----   PASS	 Run Time: 0 min 0 sec 787 ms

2024-02-03 08:35:23.316 INFO  BaseTest - Page closed.
2024-02-03 08:35:23.371 INFO  BaseTest - Tracing stopped
2024-02-03 08:35:23.375 INFO  BaseTest - Context closed.
2024-02-03 08:35:23.378 INFO  BaseTest - RUN tests.Login.LoginTest.testLogin
2024-02-03 08:35:23.386 INFO  BaseTest - Context created.
2024-02-03 08:35:23.389 INFO  BaseTest - Tracing started
2024-02-03 08:35:23.546 INFO  BaseTest - Page created.
2024-02-03 08:35:24.609 INFO  BaseTest - ?

tests.Login.LoginTest.testLogin(4)   ----   PASS	 Run Time: 0 min 0 sec 689 ms

2024-02-03 08:35:24.615 INFO  BaseTest - Page closed.
2024-02-03 08:35:24.667 INFO  BaseTest - Tracing stopped
2024-02-03 08:35:24.673 INFO  BaseTest - Context closed.
2024-02-03 08:35:24.676 INFO  BaseTest - RUN tests.Login.LoginTest.testLogin
2024-02-03 08:35:24.685 INFO  BaseTest - Context created.
2024-02-03 08:35:24.688 INFO  BaseTest - Tracing started
2024-02-03 08:35:24.829 INFO  BaseTest - Page created.
2024-02-03 08:35:26.457 INFO  BaseTest - ?

tests.Login.LoginTest.testLogin(5)   ----   PASS	 Run Time: 0 min 1 sec 217 ms

2024-02-03 08:35:26.463 INFO  BaseTest - Page closed.
2024-02-03 08:35:26.523 INFO  BaseTest - Tracing stopped
2024-02-03 08:35:26.545 INFO  BaseTest - Context closed.
2024-02-03 08:35:26.549 INFO  BaseTest - RUN tests.Login.LoginTest.testLoginAPI
2024-02-03 08:35:26.560 INFO  BaseTest - Context created.
2024-02-03 08:35:26.564 INFO  BaseTest - Tracing started
2024-02-03 08:35:26.724 INFO  BaseTest - Page created.
2024-02-03 08:35:27.891 INFO  BaseTest - API: 'Log in' status 200
2024-02-03 08:35:28.022 INFO  BaseTest - API: 'Check' status 200
2024-02-03 08:35:28.028 INFO  BaseTest - ?

tests.Login.LoginTest.testLoginAPI   ----   PASS	 Run Time: 0 min 0 sec 848 ms

2024-02-03 08:35:28.040 INFO  BaseTest - Page closed.
2024-02-03 08:35:28.249 INFO  BaseTest - Tracing stopped
2024-02-03 08:35:28.254 INFO  BaseTest - Context closed.
2024-02-03 08:35:28.257 INFO  BaseTest - RUN tests.NavigationTest.testLandingURL
2024-02-03 08:35:28.266 INFO  BaseTest - Context created.
2024-02-03 08:35:28.270 INFO  BaseTest - Tracing started
2024-02-03 08:35:28.442 INFO  BaseTest - Page created.
2024-02-03 08:35:29.550 INFO  BaseTest - Page context: Base URL opened.
2024-02-03 08:35:29.606 INFO  BaseTest - ?

tests.NavigationTest.testLandingURL   ----   PASS	 Run Time: 0 min 0 sec 49 ms

2024-02-03 08:35:29.619 INFO  BaseTest - Page closed.
2024-02-03 08:35:29.694 INFO  BaseTest - Tracing stopped
2024-02-03 08:35:29.699 INFO  BaseTest - Context closed.
2024-02-03 08:35:29.704 INFO  BaseTest - RUN tests.NavigationTest.testLogOutNavigate
